[RUN] id=run_20260211_071401Z started=2026-02-11T07:14:01Z finished=2026-02-11T07:15:07Z duration=65.5s mode=filter
[PATH] repo_root=/home/ubuntu/youtube/feb4/cobalt/src
[CONF] flavor=evergreen platform=evergreen-x64 out_dir=/home/ubuntu/youtube/feb4/cobalt/src/out/evergreen-x64_devel filters_dir=/home/ubuntu/youtube/feb4/cobalt/src/cobalt/testing/filters/evergreen-x64
[EXEC] workers=161 timeout_sec=60 retries=0 isolate_tmp=yes per_module_parallel=unlimited
[GIT] branch=main head=bd38dfe1bc31e185f0dc92abaa5566dc219ad60b head_date=2026-02-09T15:43:50-08:00 dirty=yes
[GIT] origin/main=bd38dfe1bc31e185f0dc92abaa5566dc219ad60b origin_main_date=2026-02-09T15:43:50-08:00
[SUMMARY] PASSED=143 FAILED=3 TIMEOUT=15 ERROR=0 SKIPPED=0
[FILES] index_html=/home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/index.html updated_filters_dir=/home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/updated_filters planned_tests=/home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/planned_tests.txt results_jsonl=/home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_summary.jsonl

module                | pattern                                                | status  | matched              | pass         | fail                                                                                                                                                                                                                                              | timeout | error | reason                                                                                                                                         
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.DirectMapped/19 | TIMEOUT | Timeout after 60s    | 60.824       | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__PartitionAllocMemoryAllocationPerfTest.DirectMapped_19__TIMEOUT__run_20260211_071401Z.log |         |       |                                                                                                                                                
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.DirectMapped/2  | TIMEOUT | Timeout after 60s    | 60.677       | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__PartitionAllocMemoryAllocationPerfTest.DirectMapped_2__TIMEOUT__run_20260211_071401Z.log  |         |       |                                                                                                                                                
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.DirectMapped/20 | TIMEOUT | Timeout after 60s    | 60.283       | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__PartitionAllocMemoryAllocationPerfTest.DirectMapped_20__TIMEOUT__run_20260211_071401Z.log |         |       |                                                                                                                                                
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.DirectMapped/22 | TIMEOUT | Timeout after 60s    | 61.071       | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__PartitionAllocMemoryAllocationPerfTest.DirectMapped_22__TIMEOUT__run_20260211_071401Z.log |         |       |                                                                                                                                                
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.DirectMapped/23 | TIMEOUT | Timeout after 60s    | 61.704       | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__PartitionAllocMemoryAllocationPerfTest.DirectMapped_23__TIMEOUT__run_20260211_071401Z.log |         |       |                                                                                                                                                
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.DirectMapped/4  | TIMEOUT | Timeout after 60s    | 61.649       | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__PartitionAllocMemoryAllocationPerfTest.DirectMapped_4__TIMEOUT__run_20260211_071401Z.log  |         |       |                                                                                                                                                
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.DirectMapped/5  | TIMEOUT | Timeout after 60s    | 61.345       | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__PartitionAllocMemoryAllocationPerfTest.DirectMapped_5__TIMEOUT__run_20260211_071401Z.log  |         |       |                                                                                                                                                
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.DirectMapped/7  | TIMEOUT | Timeout after 60s    | 60.475       | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__PartitionAllocMemoryAllocationPerfTest.DirectMapped_7__TIMEOUT__run_20260211_071401Z.log  |         |       |                                                                                                                                                
base_perftests_loader | PartitionAllocMemoryAllocationPerfTest.DirectMapped/8  | TIMEOUT | Timeout after 60s    | 61.913       | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__PartitionAllocMemoryAllocationPerfTest.DirectMapped_8__TIMEOUT__run_20260211_071401Z.log  |         |       |                                                                                                                                                
base_perftests_loader | StackTracePerfTest.MultiObj/0                          | FAILED  | FAILED: [  FAILED  ] | 4.440        | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__StackTracePerfTest.MultiObj_0__FAILED__run_20260211_071401Z.log                           |         |       |                                                                                                                                                
base_perftests_loader | StackTracePerfTest.MultiObj/1                          | FAILED  | FAILED: [  FAILED  ] | 7.949        | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__StackTracePerfTest.MultiObj_1__FAILED__run_20260211_071401Z.log                           |         |       |                                                                                                                                                
base_perftests_loader | StackTracePerfTest.MultiObj/2                          | FAILED  | FAILED: [  FAILED  ] | 4.356        | /home/ubuntu/youtube/feb4/cobalt/src/filtered_runs/evergreen-x64__evergreen/run_20260211_071401Z/test_logs/base_perftests_loader/base_perftests_loader__StackTracePerfTest.MultiObj_2__FAILED__run_20260211_071401Z.log                           |         |       |                                                                                                                                                
